locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPGKPABH_02254	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
OPGKPABH_02255	CDS	375	yobA		COG2372	Protein YobA
OPGKPABH_02256	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
OPGKPABH_02257	CDS	657				hypothetical protein
OPGKPABH_02258	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
OPGKPABH_02259	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
OPGKPABH_02260	CDS	660	yebE		COG2979	Inner membrane protein YebE
OPGKPABH_02261	CDS	354	yebF			Protein YebF
OPGKPABH_02262	CDS	291				hypothetical protein
OPGKPABH_02263	CDS	1179	purT	6.3.1.21	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
OPGKPABH_02264	CDS	642	eda	4.1.3.42	COG0800	KHG/KDPG aldolase
OPGKPABH_02265	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
OPGKPABH_02266	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
OPGKPABH_02267	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
OPGKPABH_02268	CDS	1443	pykA	2.7.1.40		Pyruvate kinase II
OPGKPABH_02269	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
OPGKPABH_02270	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
OPGKPABH_02271	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
OPGKPABH_02272	CDS	756	znuC	7.2.2.20		Zinc import ATP-binding protein ZnuC
OPGKPABH_02273	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
OPGKPABH_02274	CDS	1011	ruvB	3.6.4.-	COG2255	Holliday junction branch migration complex subunit RuvB
OPGKPABH_02275	CDS	612	ruvA			Holliday junction branch migration complex subunit RuvA
OPGKPABH_02276	CDS	693				hypothetical protein
OPGKPABH_02277	CDS	597				hypothetical protein
OPGKPABH_02278	CDS	1329				hypothetical protein
OPGKPABH_02279	CDS	522	ruvC	3.1.21.10	COG0817	Crossover junction endodeoxyribonuclease RuvC
OPGKPABH_02280	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
OPGKPABH_02281	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
OPGKPABH_02282	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
OPGKPABH_02283	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
OPGKPABH_02284	CDS	819				hypothetical protein
OPGKPABH_02285	CDS	396	yecN		COG3788	Inner membrane protein YecN
OPGKPABH_02286	CDS	744	cmoA	2.1.3.-	COG2226	Carboxy-S-adenosyl-L-methionine synthase
OPGKPABH_02287	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
OPGKPABH_02288	CDS	717	cutC			PF03932 family protein CutC
OPGKPABH_02289	CDS	570	yecM		COG3102	Protein YecM
OPGKPABH_02290	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
OPGKPABH_02291	CDS	1857	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
OPGKPABH_02292	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
OPGKPABH_02293	CDS	393	flhE			Flagellar protein FlhE
OPGKPABH_02294	CDS	2079	flhA			Flagellar biosynthesis protein FlhA
OPGKPABH_02295	CDS	1152	flhB			Flagellar biosynthetic protein FlhB
OPGKPABH_02296	CDS	195				hypothetical protein
OPGKPABH_02297	CDS	648	cheZ	3.1.3.-		Protein phosphatase CheZ
OPGKPABH_02298	CDS	390	cheY			Chemotaxis protein CheY
OPGKPABH_02299	CDS	1050	cheB	3.1.1.61		Protein-glutamate methylesterase/protein-glutamine glutaminase
OPGKPABH_02300	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
OPGKPABH_02301	CDS	1662	tar			Methyl-accepting chemotaxis protein II
OPGKPABH_02302	CDS	504	cheW			Chemotaxis protein CheW
OPGKPABH_02303	CDS	2016	cheA	2.7.13.3		Chemotaxis protein CheA
OPGKPABH_02304	CDS	930	motB			Motility protein B
OPGKPABH_02305	CDS	888	motA		COG1291	Motility protein A
OPGKPABH_02306	CDS	579	flhC			Flagellar transcriptional regulator FlhC
OPGKPABH_02307	CDS	342	flhD			Flagellar transcriptional regulator FlhD
OPGKPABH_02308	CDS	429	uspC		COG0589	Universal stress protein C
OPGKPABH_02309	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
OPGKPABH_02310	CDS	903	otsB	3.1.3.12		Trehalose-phosphate phosphatase
OPGKPABH_02311	CDS	183	araH		COG1172	L-arabinose transport system permease protein AraH
OPGKPABH_02312	CDS	558	yajL_2	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
OPGKPABH_02313	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
OPGKPABH_02314	CDS	639				hypothetical protein
OPGKPABH_02315	CDS	336				hypothetical protein
OPGKPABH_02316	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
OPGKPABH_02317	CDS	240				hypothetical protein
OPGKPABH_02318	CDS	1269	tyrP		COG0814	Tyrosine-specific transport system
OPGKPABH_02319	CDS	666				hypothetical protein
OPGKPABH_02320	CDS	327				hypothetical protein
OPGKPABH_02321	CDS	1434				hypothetical protein
OPGKPABH_02322	CDS	285				hypothetical protein
OPGKPABH_02323	tRNA	87				tRNA-Leu(taa)
OPGKPABH_02324	tRNA	74				tRNA-Cys(gca)
OPGKPABH_02325	tRNA	76				tRNA-Gly(gcc)
OPGKPABH_02326	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
OPGKPABH_02327	CDS	1833	uvrC		COG0322	UvrABC system protein C
OPGKPABH_02328	CDS	657	uvrY		COG2197	Response regulator UvrY
OPGKPABH_02329	CDS	225				hypothetical protein
OPGKPABH_02330	CDS	723	sdiA		COG2197	Regulatory protein SdiA
OPGKPABH_02331	CDS	753	tcyN	7.4.2.12	COG1126	L-cystine transport system ATP-binding protein TcyN
OPGKPABH_02332	CDS	669	tcyL_3		COG0765	L-cystine transport system permease protein TcyL
OPGKPABH_02333	CDS	987	dcyD	4.4.1.15		D-cysteine desulfhydrase
OPGKPABH_02334	CDS	801	tcyJ		COG0834	L-cystine-binding protein TcyJ
OPGKPABH_02335	CDS	552	fliZ			Regulator of sigma S factor FliZ
OPGKPABH_02336	CDS	720	fliA			RNA polymerase sigma factor FliA
OPGKPABH_02337	CDS	1206				hypothetical protein
OPGKPABH_02338	CDS	1482	fliC			Flagellin
OPGKPABH_02339	CDS	1404	fliD			Flagellar hook-associated protein 2
OPGKPABH_02340	CDS	408	fliS			Flagellar secretion chaperone FliS
OPGKPABH_02341	CDS	369	fliT			Flagellar protein FliT
OPGKPABH_02342	CDS	1485	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
OPGKPABH_02343	CDS	414				hypothetical protein
OPGKPABH_02344	CDS	1206	yedE		COG2391	putative transporter YedE
OPGKPABH_02345	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
OPGKPABH_02346	CDS	354				hypothetical protein
OPGKPABH_02347	CDS	315	fliE			Flagellar hook-basal body complex protein FliE
OPGKPABH_02348	CDS	1683	fliF			Flagellar M-ring protein
OPGKPABH_02349	CDS	996	fliG			Flagellar motor switch protein FliG
OPGKPABH_02350	CDS	708	fliH			Flagellar assembly protein FliH
OPGKPABH_02351	CDS	1371	fliI	7.1.2.2		Flagellum-specific ATP synthase
OPGKPABH_02352	CDS	444	fliJ			Flagellar FliJ protein
OPGKPABH_02353	CDS	1224	fliK			Flagellar hook-length control protein
OPGKPABH_02354	CDS	468				hypothetical protein
OPGKPABH_02355	CDS	1005	fliM			Flagellar motor switch protein FliM
OPGKPABH_02356	CDS	414	fliN			Flagellar motor switch protein FliN
OPGKPABH_02357	CDS	378	fliO			Flagellar protein FliO
OPGKPABH_02358	CDS	738	fliP			Flagellar biosynthetic protein FliP
OPGKPABH_02359	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
OPGKPABH_02360	CDS	795	fliR			Flagellar biosynthetic protein FliR
OPGKPABH_02361	CDS	624	rcsA_1		COG2197	Transcriptional regulatory protein RcsA
OPGKPABH_02362	CDS	195	dsrB			Protein DsrB
OPGKPABH_02363	CDS	228				hypothetical protein
OPGKPABH_02364	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
OPGKPABH_02365	CDS	1713	dgcQ	2.7.7.65	COG3706	putative diguanylate cyclase DgcQ
OPGKPABH_02366	CDS	186				hypothetical protein
OPGKPABH_02367	CDS	912	yedI		COG2354	Inner membrane protein YedI
OPGKPABH_02368	CDS	921	yedA		COG0697	putative inner membrane transporter YedA
OPGKPABH_02369	CDS	471	vsr	3.1.-.-	COG3727	DNA mismatch endonuclease Vsr
OPGKPABH_02370	CDS	1431	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
OPGKPABH_02371	CDS	696	yedJ		COG1418	putative protein YedJ
OPGKPABH_02372	CDS	312	drpB			Cell division protein DrpB
OPGKPABH_02373	CDS	1179	ompN_2		COG3203	Outer membrane porin N
OPGKPABH_02374	CDS	213	cspJ			Cold shock-like protein CspJ
OPGKPABH_02375	CDS	1269	umuC_1		COG0389	Protein UmuC
OPGKPABH_02376	CDS	420	umuD_1	3.4.21.-		Protein UmuD
OPGKPABH_02377	tRNA	90				tRNA-Ser(cga)
OPGKPABH_02378	CDS	798	mtfA	3.4.11.-	COG3228	Mlc titration factor A
OPGKPABH_02379	tRNA	76				tRNA-Asn(gtt)
OPGKPABH_02380	tRNA	76				tRNA-Asn(gtt)
OPGKPABH_02381	CDS	474				hypothetical protein
OPGKPABH_02382	CDS	699				hypothetical protein
OPGKPABH_02383	CDS	2169				hypothetical protein
OPGKPABH_02384	CDS	1731				hypothetical protein
OPGKPABH_02385	CDS	174				hypothetical protein
OPGKPABH_02386	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
OPGKPABH_02387	CDS	327				hypothetical protein
OPGKPABH_02388	tRNA	76				tRNA-Asn(gtt)
OPGKPABH_02389	CDS	1425	yeeO		COG0534	putative FMN/FAD exporter YeeO
OPGKPABH_02390	tRNA	76				tRNA-Asn(gtt)
OPGKPABH_02391	CDS	930	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
OPGKPABH_02392	CDS	1071	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
OPGKPABH_02393	CDS	744	cobS	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
OPGKPABH_02394	CDS	546	cobU	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobU
OPGKPABH_02395	CDS	1521	cobQ		COG1492	Cobyric acid synthase
OPGKPABH_02396	CDS	816	cbiO	7.-.-.-		Cobalt import ATP-binding protein CbiO
OPGKPABH_02397	CDS	678	cbiQ			Cobalt transport protein CbiQ
OPGKPABH_02398	CDS	282	cbiN			Cobalt transport protein CbiN
OPGKPABH_02399	CDS	738	cbiM			Cobalt transport protein CbiM
OPGKPABH_02400	CDS	714	cbiL	2.1.1.151		Cobalt-precorrin-2 C(20)-methyltransferase
OPGKPABH_02401	CDS	795	cbiK	4.99.1.3		Sirohydrochlorin cobaltochelatase
OPGKPABH_02402	CDS	792	cbiJ	1.3.1.106		Cobalt-precorrin-6A reductase
OPGKPABH_02403	CDS	726	cbiH	2.1.1.-		putative cobalt-factor III C(17)-methyltransferase
OPGKPABH_02404	CDS	1056	cbiG	3.7.1.12		Cobalt-precorrin-5A hydrolase
OPGKPABH_02405	CDS	774	cbiF	2.1.1.271		Cobalt-precorrin-4 C(11)-methyltransferase
OPGKPABH_02406	CDS	579	cbiT	2.1.1.196		Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
OPGKPABH_02407	CDS	606	cbiE	2.1.1.289		Cobalt-precorrin-7 C(5)-methyltransferase
OPGKPABH_02408	CDS	1140	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
OPGKPABH_02409	CDS	633	cbiC	5.4.99.60		Cobalt-precorrin-8 methylmutase
OPGKPABH_02410	CDS	960	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
OPGKPABH_02411	CDS	1380	cbiA	6.3.5.11		Cobyrinate a,c-diamide synthase
OPGKPABH_02412	CDS	912	pocR			Regulatory protein PocR
OPGKPABH_02413	CDS	795	pduF			Propanediol uptake facilitator PduF
OPGKPABH_02414	CDS	285	pduA			Bacterial microcompartment shell protein PduA
OPGKPABH_02415	CDS	813	pduB			Bacterial microcompartment shell protein PduB
OPGKPABH_02416	CDS	1665	pduC	4.2.1.28		Propanediol dehydratase large subunit
OPGKPABH_02417	CDS	675	pduD	4.2.1.28		Propanediol dehydratase medium subunit
OPGKPABH_02418	CDS	522	pduE	4.2.1.28		Propanediol dehydratase small subunit
OPGKPABH_02419	CDS	1833	pduG_2			Propanediol dehydratase-reactivating factor large subunit
OPGKPABH_02420	CDS	351	pduH			Propanediol dehydratase-reactivating factor small subunit
OPGKPABH_02421	CDS	276	pduJ			Bacterial microcompartment shell protein PduJ
OPGKPABH_02422	CDS	462	pduK			Bacterial microcompartment shell protein PduK
OPGKPABH_02423	CDS	633	pduL	2.3.1.222		Phosphate propanoyltransferase
OPGKPABH_02424	CDS	492	pduM			Bacterial microcompartment assembly protein PduM
OPGKPABH_02425	CDS	276	pduN			Bacterial microcompartment shell vertex protein PduN
OPGKPABH_02426	CDS	1011	pduO	2.5.1.-		Corrinoid adenosyltransferase PduO
OPGKPABH_02427	CDS	1395	pduP	1.2.1.87		Propanal dehydrogenase (CoA-propanoylating)
OPGKPABH_02428	CDS	1113	pduQ	1.1.-.-		1-propanol dehydrogenase PduQ
OPGKPABH_02429	CDS	1356	pduS			Cobalamin reductase PduS
OPGKPABH_02430	CDS	555	pduT			Bacterial microcompartment shell protein PduT
OPGKPABH_02431	CDS	351	pduU			Bacterial microcompartment shell protein PduU
OPGKPABH_02432	CDS	453	pduV			Propanediol utilization protein PduV
OPGKPABH_02433	CDS	1215	pduW	2.7.2.15		Propionate kinase PduW
OPGKPABH_02434	CDS	903	pduX	2.7.1.177		L-threonine kinase
OPGKPABH_02435	CDS	336	tmaR		COG2926	Pole-localizer protein TmaR
OPGKPABH_02436	CDS	1059	yeeA		COG1289	Inner membrane protein YeeA
OPGKPABH_02437	CDS	468	sbmC		COG3449	DNA gyrase inhibitor
OPGKPABH_02438	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
OPGKPABH_02439	CDS	765	phsC			Thiosulfate reductase cytochrome B subunit PhsC
OPGKPABH_02440	CDS	579	phsB			Thiosulfate reductase electron transfer subunit PhsB
OPGKPABH_02441	CDS	2277	phsA	1.8.5.5		Thiosulfate reductase molybdopterin-containing subunit PhsA
OPGKPABH_02442	CDS	2349	sopA	2.3.2.26		E3 ubiquitin-protein ligase SopA
OPGKPABH_02443	CDS	1431	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
OPGKPABH_02444	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
OPGKPABH_02445	CDS	915	yhaJ_2		COG0583	HTH-type transcriptional regulator YhaJ
OPGKPABH_02446	CDS	825	yeeZ		COG0451	Protein YeeZ
OPGKPABH_02447	CDS	900	hisG	2.4.2.17		ATP phosphoribosyltransferase
OPGKPABH_02448	CDS	1305	hisD	1.1.1.23		Histidinol dehydrogenase
OPGKPABH_02449	CDS	1080	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
OPGKPABH_02450	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
OPGKPABH_02451	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
OPGKPABH_02452	CDS	738	hisA	5.3.1.16		1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
OPGKPABH_02453	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
OPGKPABH_02454	CDS	612	hisI			Histidine biosynthesis bifunctional protein HisIE
OPGKPABH_02455	CDS	984	wzzB			Chain length determinant protein
OPGKPABH_02456	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
OPGKPABH_02457	CDS	1407	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
OPGKPABH_02458	CDS	1431	rfbP	2.7.8.6		Undecaprenyl-phosphate galactose phosphotransferase
OPGKPABH_02459	CDS	1437	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
OPGKPABH_02460	CDS	1398	rfbM	2.7.7.13		Mannose-1-phosphate guanylyltransferase RfbM
OPGKPABH_02461	CDS	1158	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OPGKPABH_02462	CDS	1011	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OPGKPABH_02463	CDS	1200				hypothetical protein
OPGKPABH_02464	CDS	1044				hypothetical protein
OPGKPABH_02465	CDS	615	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
OPGKPABH_02466	CDS	963				hypothetical protein
OPGKPABH_02467	CDS	1341				hypothetical protein
OPGKPABH_02468	CDS	873	rfbJ	1.1.1.341		CDP-abequose synthase
OPGKPABH_02469	CDS	1314	spnQ	4.2.1.164		dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase
OPGKPABH_02470	CDS	1080	rfbG	4.2.1.45		CDP-glucose 4,6-dehydratase
OPGKPABH_02471	CDS	774	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
OPGKPABH_02472	CDS	975	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
OPGKPABH_02473	CDS	549	rfbC	5.1.3.13		dTDP-4-dehydrorhamnose 3,5-epimerase
OPGKPABH_02474	CDS	879	rmlA	2.7.7.24		Glucose-1-phosphate thymidylyltransferase
OPGKPABH_02475	CDS	900	rfbD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
OPGKPABH_02476	CDS	1086	rfbB	4.2.1.46		dTDP-glucose 4,6-dehydratase
OPGKPABH_02477	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
OPGKPABH_02478	CDS	1404				hypothetical protein
OPGKPABH_02479	CDS	1221	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OPGKPABH_02480	CDS	1281				hypothetical protein
OPGKPABH_02481	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
OPGKPABH_02482	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
OPGKPABH_02483	CDS	1371	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
OPGKPABH_02484	CDS	1437	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
OPGKPABH_02485	CDS	1224				hypothetical protein
OPGKPABH_02486	CDS	474	gmm	3.6.1.-	COG1051	GDP-mannose mannosyl hydrolase
OPGKPABH_02487	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
OPGKPABH_02488	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
OPGKPABH_02489	CDS	555				hypothetical protein
OPGKPABH_02490	CDS	747				hypothetical protein
OPGKPABH_02491	CDS	1215				hypothetical protein
OPGKPABH_02492	CDS	1218				hypothetical protein
OPGKPABH_02493	CDS	489	cysE_2	2.3.1.30	COG1045	Serine acetyltransferase
OPGKPABH_02494	CDS	912				hypothetical protein
OPGKPABH_02495	CDS	2160	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
OPGKPABH_02496	CDS	450	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
OPGKPABH_02497	CDS	1140	wza		COG1596	Putative polysaccharide export protein Wza
OPGKPABH_02498	CDS	1581				hypothetical protein
OPGKPABH_02499	CDS	1857				hypothetical protein
OPGKPABH_02500	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
OPGKPABH_02501	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
OPGKPABH_02502	CDS	2991				hypothetical protein
OPGKPABH_02503	CDS	870	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
OPGKPABH_02504	CDS	1353	dnaK_1			Chaperone protein DnaK
OPGKPABH_02505	CDS	198				hypothetical protein
OPGKPABH_02506	CDS	1242	mdtA		COG0845	Multidrug resistance protein MdtA
OPGKPABH_02507	CDS	3123	mdtB			Multidrug resistance protein MdtB
OPGKPABH_02508	CDS	3081	mdtC			Multidrug resistance protein MdtC
OPGKPABH_02509	CDS	1413	mdtD		COG2814	Putative multidrug resistance protein MdtD
OPGKPABH_02510	CDS	1404	baeS			two-component system sensor histidine kinase BaeS
OPGKPABH_02511	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
OPGKPABH_02512	CDS	1203				hypothetical protein
OPGKPABH_02513	CDS	717				hypothetical protein
OPGKPABH_02514	CDS	2112				hypothetical protein
OPGKPABH_02515	CDS	1362	trhP	3.4.-.-	COG0826	tRNA hydroxylation protein P
OPGKPABH_02516	CDS	1008	sseK2	2.4.1.-		Protein-arginine N-acetylglucosaminyltransferase SseK2
OPGKPABH_02517	CDS	417	cesT			Tir chaperone
OPGKPABH_02518	CDS	336				hypothetical protein
OPGKPABH_02519	CDS	900	yegS	2.7.1.-		putative lipid kinase YegS
OPGKPABH_02520	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
OPGKPABH_02521	CDS	1272	yegT		COG2211	Putative nucleoside transporter YegT
OPGKPABH_02522	CDS	1005	draG	3.2.2.24		ADP-ribosyl-[dinitrogen reductase] glycohydrolase
OPGKPABH_02523	CDS	966	fruK_1	2.7.1.56	COG1105	1-phosphofructokinase
OPGKPABH_02524	CDS	747	ggaR		COG2188	HTH-type transcriptional regulator GgaR
OPGKPABH_02525	CDS	801	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
OPGKPABH_02526	CDS	798	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
OPGKPABH_02527	CDS	315	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
OPGKPABH_02528	CDS	1008	yehA		COG3539	putative fimbrial-like protein YehA
OPGKPABH_02529	CDS	2490	yehB		COG3188	Outer membrane usher protein YehB
OPGKPABH_02530	CDS	684	yehC		COG3121	putative fimbrial chaperone YehC
OPGKPABH_02531	CDS	531	yehD		COG3539	putative fimbrial-like protein YehD
OPGKPABH_02532	CDS	282				hypothetical protein
OPGKPABH_02533	CDS	1110	apbC			Iron-sulfur cluster carrier protein
OPGKPABH_02534	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
OPGKPABH_02535	CDS	459	yehR		COG4808	putative lipoprotein YehR
OPGKPABH_02536	CDS	531				hypothetical protein
OPGKPABH_02537	CDS	468				hypothetical protein
OPGKPABH_02538	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
OPGKPABH_02539	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
OPGKPABH_02540	CDS	732	mlrA_2		COG0789	HTH-type transcriptional regulator MlrA
OPGKPABH_02541	CDS	108				hypothetical protein
OPGKPABH_02542	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
OPGKPABH_02543	CDS	948	yehX	7.4.2.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
OPGKPABH_02544	CDS	1170	yehY		COG1174	Glycine betaine uptake system permease protein YehY
OPGKPABH_02545	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
OPGKPABH_02546	CDS	2298		3.2.1.-	COG1472	Beta-xylosidase
OPGKPABH_02547	CDS	1731	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
OPGKPABH_02548	CDS	909	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
OPGKPABH_02549	CDS	588	yohC			Inner membrane protein YohC
OPGKPABH_02550	CDS	570	yohD		COG0586	Inner membrane protein YohD
OPGKPABH_02551	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
OPGKPABH_02552	CDS	1437	opmQ			Pyoverdine export outer membrane protein OpmQ
OPGKPABH_02553	CDS	939	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
OPGKPABH_02554	CDS	1194	mhbM	1.14.13.24	COG0654	3-hydroxybenzoate 6-hydroxylase
OPGKPABH_02555	CDS	645	nagL	5.2.1.4		Maleylpyruvate isomerase
OPGKPABH_02556	CDS	702	nagK_2	3.7.1.20		Fumarylpyruvate hydrolase
OPGKPABH_02557	CDS	1038	xlnE	1.13.11.4		Gentisate 1,2 dioxygenase 1
OPGKPABH_02558	CDS	1359	mhbT		COG2271	3-hydroxybenzoate transporter MhbT
OPGKPABH_02559	CDS	909	gbpR_2			HTH-type transcriptional regulator GbpR
OPGKPABH_02560	CDS	399				hypothetical protein
OPGKPABH_02561	CDS	696	yohK_1		COG1346	Inner membrane protein YohK
OPGKPABH_02562	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
OPGKPABH_02563	CDS	720				hypothetical protein
OPGKPABH_02564	CDS	240				hypothetical protein
OPGKPABH_02565	CDS	1242	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
OPGKPABH_02566	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
OPGKPABH_02567	CDS	1011	mglC			Galactose/methyl galactoside import permease protein MglC
OPGKPABH_02568	CDS	1521	mglA	7.5.2.11		Galactose/methyl galactoside import ATP-binding protein MglA
OPGKPABH_02569	CDS	999	mglB			D-galactose/methyl-galactoside binding periplasmic protein MglB
OPGKPABH_02570	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
OPGKPABH_02571	CDS	1032	metN_2	7.4.2.11	COG1135	Methionine import ATP-binding protein MetN
OPGKPABH_02572	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
OPGKPABH_02573	CDS	816	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
OPGKPABH_02574	CDS	405	rcsF			Outer membrane lipoprotein RcsF
OPGKPABH_02575	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
OPGKPABH_02576	CDS	1719	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
OPGKPABH_02577	CDS	702	nlpE		COG3015	Lipoprotein NlpE
OPGKPABH_02578	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
OPGKPABH_02579	CDS	546	yaeQ		COG4681	putative protein YaeQ
OPGKPABH_02580	CDS	201				hypothetical protein
OPGKPABH_02581	CDS	261	rof		COG4568	Protein rof
OPGKPABH_02582	CDS	1293	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
OPGKPABH_02583	CDS	390				hypothetical protein
OPGKPABH_02584	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
